sector,ts_code,code,name,industry,dividend_yield,pe_ttm,pb,yoy_2023,yoy_2024,yoy_2025,avg_gm,avg_nm,avg_roe_dt,avg_roe,div_years
银行,601665.SH,601665,齐鲁银行,银行,4.2024,6.1793,0.7214,18.018241776008608,17.774734508477234,14.584052388459634,,39.5931,10.878433333333334,11.128166666666667,6
银行,002948.SZ,002948,青岛银行,银行,3.3645,5.7095,0.7319,15.110541638621047,20.163478600991546,21.6602956764819,,32.942566666666664,10.0992,10.299333333333333,8
银行,600919.SH,600919,江苏银行,银行,5.0909,5.7596,0.7696,13.252816228224754,10.757645680303323,8.34649129156659,,40.95656666666667,11.4655,11.592466666666667,10
银行,601288.SH,601288,农业银行,银行,4.0048,7.4089,0.7714,3.9422705873273136,4.724973640832207,3.175661064296679,,39.62453333333334,9.4387,9.4419,16
银行,600926.SH,600926,杭州银行,银行,4.3593,5.5889,0.7838,23.152329799740226,18.07084530346754,12.051696790407902,,44.79013333333334,13.173333333333334,13.385933333333334,10
运营商,600050.SH,600050,中国联通,电信运营,3.8929,15.1665,0.7692,11.962338916274476,10.48884625406863,1.071590632487846,23.82626666666667,5.203333333333333,4.5075,5.4196,9
资源类,600782.SH,600782,新钢股份,普钢,5.1923,,0.3259,-52.43133046045123,-93.4141377139106,35.598579629875104,2.1214,0.3164666666666667,-1.6222666666666665,0.7258333333333334,11
资源类,000932.SZ,000932,华菱钢铁,普钢,4.5714,10.6772,0.4295,-20.380449205120858,-59.993490267707394,28.490303711304204,8.651033333333332,3.1554333333333333,5.2445666666666675,6.1392,7
资源类,600123.SH,600123,兰花科创,煤炭开采,2.6455,,0.5527,-34.92855497429838,-65.78580133483155,-175.23194387977995,28.887866666666667,3.7455,4.017233333333333,4.660833333333334,8
资源类,600019.SH,600019,宝钢股份,普钢,5.4282,11.7763,0.573,-1.9922990879917568,-38.3632499308664,40.52874632813835,6.299266666666667,3.414266666666667,4.5254,4.936233333333333,26
资源类,600508.SH,600508,上海能源,煤炭开采,2.6686,42.8058,0.637,-44.29792368097332,-26.160335091704745,-69.19622049553531,19.37816666666667,5.991066666666666,4.980266666666666,5.0627,10
资源类,600028.SH,600028,中国石化,石油加工,4.2031,16.191,0.6909,-8.806672498567163,-16.787126010948842,-36.77777115258482,15.666966666666667,1.7729,5.706133333333334,5.8812,25
资源类,600971.SH,600971,恒源煤电,煤炭开采,3.5305,,0.7105,-18.97617295254255,-47.347993558395956,-117.88829974777526,35.81026666666667,12.511366666666667,7.739333333333334,7.892433333333333,9
公用事业,000690.SZ,000690,宝新能源,火力发电,5.5188,9.5256,0.753,385.08980369223485,-20.595352042922357,45.20696590639171,15.693866666666667,9.813600000000001,7.084499999999999,7.198066666666667,28
公用事业,600098.SH,600098,广州发展,火力发电,5.814,8.7845,0.7596,20.981520560074387,5.731963387066583,33.931963704956246,9.994833333333334,4.305266666666666,5.517766666666667,7.32,27
消费类,000910.SZ,000910,大亚圣象,家居用品,3.5382,,0.4483,-20.837982712870385,-58.21800359396027,-90.4063083174312,25.90986666666667,2.5415333333333336,1.9657333333333333,2.4396,14
消费类,000726.SZ,000726,鲁泰A,纺织,4.4957,8.4348,0.4639,-58.143066715664084,1.7046081768810235,44.66368813748087,23.248066666666663,7.963500000000001,4.477633333333333,4.995100000000001,26
消费类,002394.SZ,002394,联发股份,纺织,5.4348,12.3065,0.6864,-6.407942895853831,34.94051395571406,50.676104139563904,17.48493333333333,5.321466666666667,4.951366666666666,5.341033333333333,3
消费类,603801.SH,603801,志邦家居,家居用品,7.0988,34.982,0.7583,10.870944213155981,-35.23127919623975,-46.88585286499942,35.51766666666666,7.2526,10.685033333333335,12.282766666666666,9
消费类,002582.SZ,002582,好想你,食品,6.6809,2.0451,0.7749,72.64825735217416,-38.66857732043027,1303.5950692415706,25.835733333333334,19.118833333333335,-1.7616666666666667,6.6058666666666666,10
消费类,000850.SZ,000850,华茂股份,纺织,2.5747,71.835,0.7925,179.27506596697813,107.40618887440965,-28.27736873962565,13.165,5.875266666666666,0.8178333333333333,4.732466666666666,21
